timestamp,elapsed_s,pid,process,cpu_s,delta_cpu_s,working_set_mb,private_mb,threads,top_processes
2026-06-25T09:41:13.4372308+02:00,45.2,12212,Godot_v4.6.2-stable_win64,78.281,2.094,956.8,1,740.8,33,"31148:DisplayFusion:cpu=5;877.6:ws=150MB|19432:StreamDeck:cpu=5;655.7:ws=85MB|18288:Creative Cloud:cpu=4;431.6:ws=314MB|6348:Codex:cpu=3;920.0:ws=253MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;705.0:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:15.5091042+02:00,47.2,12212,Godot_v4.6.2-stable_win64,80.578,2.297,957.4,1,741.4,33,"31148:DisplayFusion:cpu=5;877.8:ws=150MB|19432:StreamDeck:cpu=5;656.4:ws=85MB|18288:Creative Cloud:cpu=4;431.7:ws=314MB|6348:Codex:cpu=3;920.9:ws=252MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;705.0:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:17.5567078+02:00,49.3,12212,Godot_v4.6.2-stable_win64,82.703,2.125,957.5,1,741.4,33,"31148:DisplayFusion:cpu=5;877.8:ws=150MB|19432:StreamDeck:cpu=5;656.9:ws=85MB|18288:Creative Cloud:cpu=4;431.7:ws=314MB|6348:Codex:cpu=3;921.7:ws=252MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;705.1:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:19.6095795+02:00,51.3,12212,Godot_v4.6.2-stable_win64,84.922,2.219,957.6,1,741.4,33,"31148:DisplayFusion:cpu=5;877.9:ws=150MB|19432:StreamDeck:cpu=5;657.6:ws=85MB|18288:Creative Cloud:cpu=4;431.7:ws=314MB|6348:Codex:cpu=3;922.7:ws=252MB|23548:LM Studio:cpu=2;001.9:ws=92MB|9972:CurseForge:cpu=1;705.1:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:21.6462091+02:00,53.4,12212,Godot_v4.6.2-stable_win64,87.859,2.938,961.1,1,745.2,33,"31148:DisplayFusion:cpu=5;878.0:ws=150MB|19432:StreamDeck:cpu=5;658.4:ws=85MB|18288:Creative Cloud:cpu=4;431.8:ws=314MB|6348:Codex:cpu=3;923.7:ws=252MB|23548:LM Studio:cpu=2;002.0:ws=92MB|9972:CurseForge:cpu=1;705.2:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:23.7040271+02:00,55.4,12212,Godot_v4.6.2-stable_win64,91.141,3.281,962.8,1,747.0,33,"31148:DisplayFusion:cpu=5;878.1:ws=150MB|19432:StreamDeck:cpu=5;658.8:ws=85MB|18288:Creative Cloud:cpu=4;432.0:ws=314MB|6348:Codex:cpu=3;924.8:ws=253MB|23548:LM Studio:cpu=2;002.0:ws=92MB|9972:CurseForge:cpu=1;705.2:ws=57MB|9240:steamwebhelper:cpu=1;176.8:ws=357MB|6392:codex:cpu=911.0:ws=136MB"
2026-06-25T09:41:25.7537040+02:00,57.5,12212,Godot_v4.6.2-stable_win64,93.281,2.141,962.8,1,747.0,33,"31148:DisplayFusion:cpu=5;878.2:ws=150MB|19432:StreamDeck:cpu=5;659.5:ws=85MB|18288:Creative Cloud:cpu=4;432.0:ws=314MB|6348:Codex:cpu=3;925.8:ws=252MB|23548:LM Studio:cpu=2;002.1:ws=92MB|9972:CurseForge:cpu=1;705.2:ws=57MB|9240:steamwebhelper:cpu=1;176.9:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:27.8119373+02:00,59.6,12212,Godot_v4.6.2-stable_win64,95.391,2.109,962.8,1,746.9,32,"31148:DisplayFusion:cpu=5;878.3:ws=150MB|19432:StreamDeck:cpu=5;660.2:ws=85MB|18288:Creative Cloud:cpu=4;432.0:ws=314MB|6348:Codex:cpu=3;926.5:ws=253MB|23548:LM Studio:cpu=2;002.1:ws=92MB|9972:CurseForge:cpu=1;705.3:ws=57MB|9240:steamwebhelper:cpu=1;176.9:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:29.8582137+02:00,61.6,12212,Godot_v4.6.2-stable_win64,97.609,2.219,962.8,1,746.8,29,"31148:DisplayFusion:cpu=5;878.3:ws=150MB|19432:StreamDeck:cpu=5;661.0:ws=85MB|18288:Creative Cloud:cpu=4;432.0:ws=314MB|6348:Codex:cpu=3;927.4:ws=253MB|23548:LM Studio:cpu=2;002.1:ws=92MB|9972:CurseForge:cpu=1;705.3:ws=57MB|9240:steamwebhelper:cpu=1;176.9:ws=357MB|6392:codex:cpu=911.0:ws=137MB"
2026-06-25T09:41:31.9219822+02:00,63.7,12212,Godot_v4.6.2-stable_win64,99.719,2.109,962.8,1,746.8,29,"31148:DisplayFusion:cpu=5;878.4:ws=150MB|19432:StreamDeck:cpu=5;661.3:ws=85MB|18288:Creative Cloud:cpu=4;432.4:ws=314MB|6348:Codex:cpu=3;928.3:ws=253MB|23548:LM Studio:cpu=2;002.1:ws=92MB|9972:CurseForge:cpu=1;705.4:ws=57MB|9240:steamwebhelper:cpu=1;176.9:ws=357MB|6392:codex:cpu=911.0:ws=130MB"
2026-06-25T09:41:33.9729778+02:00,65.7,12212,Godot_v4.6.2-stable_win64,100.969,1.250,378.3,329.2,9,"31148:DisplayFusion:cpu=5;878.5:ws=150MB|19432:StreamDeck:cpu=5;661.8:ws=85MB|18288:Creative Cloud:cpu=4;432.4:ws=314MB|6348:Codex:cpu=3;929.3:ws=253MB|23548:LM Studio:cpu=2;002.2:ws=92MB|9972:CurseForge:cpu=1;705.4:ws=57MB|9240:steamwebhelper:cpu=1;176.9:ws=357MB|6392:codex:cpu=911.0:ws=129MB"
